[18:21:01] [main/INFO]: ModLauncher running: args [--username, AberrantNautilus, --version, forge-47.2.20, --gameDir, C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp, --assetsDir, C:\Users\ArcieL\curseforge\minecraft\Install\assets, --assetIndex, 5, --uuid, 4b4172d178c644eba8bf7f8d11bd2ac8, --accessToken, ????????, --clientId, NTAzMjI4MGUtYWEyYy00OTE3LTkwOTMtYzM3ZWRiNDUwNjc4, --xuid, 2535433395142716, --userType, msa, --versionType, release, --width, 1024, --height, 768, --quickPlayPath, C:\Users\ArcieL\curseforge\minecraft\Install\quickPlay\java\1716340859140.json, --launchTarget, forgeclient, --fml.forgeVersion, 47.2.20, --fml.mcVersion, 1.20.1, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20230612.114412]
[18:21:01] [main/INFO]: ModLauncher 10.0.9+10.0.9+main.dcd20f30 starting: java version 17.0.8 by Microsoft; OS Windows 11 arch amd64 version 10.0
[18:21:02] [main/INFO]: Loading ImmediateWindowProvider fmlearlywindow
[18:21:02] [main/INFO]: Trying GL version 4.6
[18:21:03] [main/INFO]: Requested GL version 4.6 got version 4.6
[18:21:03] [main/ERROR]: Could not find DefaultSettings, not going to do anything! Shutting down...
[18:21:03] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/ArcieL/curseforge/minecraft/Install/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%23100!/ Service=ModLauncher Env=CLIENT
[18:21:03] [pool-2-thread-1/INFO]: GL info: NVIDIA GeForce RTX 3070 Ti Laptop GPU/PCIe/SSE2 GL version 4.6.0 NVIDIA 552.22, NVIDIA Corporation
[18:21:04] [main/INFO]: Found mod file ad_astra-forge-1.20.1-1.15.18.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file AE2-Things-1.2.1.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file ae2insertexportcard-1.20.1-1.2.1.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file ae2wtlib-15.2.3-forge.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file AEAdditions-1.20.1-5.0.6.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file AEInfinityBooster-1.20.1-1.0.0+21.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file aeroblender-1.20.1-1.0.1-neoforge.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file aether-1.20.1-1.4.2-neoforge.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file aether-redux-2.0.15-1.20.1-neoforge.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
[18:21:04] [main/INFO]: Found mod file aether_delight_1.0.0_forge_1.20.1.jar of type MOD with provider {mods folder locator at C:\Users\ArcieL\curseforge\minecraft\Instances\the last temp\mods}
